Mes,Dia,Anio,Tmin,Tmax,Tavg
4,12,1930,16,24.5,33
4,13,1930,14.2,23.1,32
4,14,1930,14.3,24.3,34.3
4,15,1930,18.3,24.15,30
4,16,1930,16,27.1,38.2
4,17,1930,16.3,24.7,33.1
4,18,1930,16.3,22.2,28.1
4,19,1930,15.2,22.7,30.2
4,20,1930,16.1,24.2,32.3
4,21,1930,18,23.55,29.1
4,22,1930,17,23.5,30
4,23,1930,16.2,23.1,30
4,24,1930,15.2,23.1,31
4,25,1930,16.4,23.2,30
4,26,1930,18.3,24.65,31
4,27,1930,18.2,24.6,31
4,28,1930,19.3,24.2,29.1
4,29,1930,20.2,26.25,32.3
4,30,1930,19.4,24.7,30
5,1,1930,21,24.5,28
5,2,1930,21,26.65,32.3
5,3,1930,21,28,35
5,4,1930,21.2,28.2,35.2
5,5,1930,21.4,28.7,36
5,6,1930,22,29.5,37
5,7,1930,18.2,26.6,35
5,8,1930,19,26.15,33.3
5,9,1930,22.3,28.3,34.3
5,10,1930,21.2,28.1,35
5,11,1930,20.1,25.25,30.4
5,12,1930,22,26.2,30.4
5,13,1930,21.2,26.2,31.2
5,14,1930,21.4,25.8,30.2
5,15,1930,21.1,25.7,30.3
5,16,1930,21,28.1,35.2
5,17,1930,21.4,28.4,35.4
5,18,1930,22.3,29.75,37.2
5,19,1930,24.1,32.1,40.1
5,20,1930,24.4,31.85,39.3
5,21,1930,23.1,30.75,38.4
5,22,1930,21.4,28.7,36
5,23,1930,19.2,26.1,33
5,24,1930,16.2,19.25,22.3
5,25,1930,17.2,18.7,20.2
5,26,1930,13.1,16.25,19.4
5,27,1930,12.1,16.1,20.1
5,28,1930,13.4,17.3,21.2
5,29,1930,14.1,22.05,30
5,30,1930,20.1,24.55,29
5,31,1930,19,22.7,26.4
6,1,1930,19.3,22.7,26.1
6,2,1930,19.4,22.8,26.2
6,3,1930,20,25,30
6,4,1930,20.1,25.05,30
6,5,1930,20.4,25.2,30
6,6,1930,21.1,25.6,30.1
6,7,1930,20.4,25.35,30.3
6,8,1930,19.2,25.2,31.2
6,9,1930,19.4,23.2,27
6,10,1930,19,22.5,26
6,11,1930,18.1,22.6,27.1
6,12,1930,20,25.55,31.1
6,13,1930,21.2,25.65,30.1
6,14,1930,21.1,25.65,30.2
6,15,1930,21.4,25.85,30.3
6,16,1930,21.1,26.25,31.4
6,17,1930,20.1,26.55,33
6,18,1930,19.4,26.25,33.1
6,19,1930,19.4,25.85,32.3
6,20,1930,21.2,25.6,30
6,21,1930,21.2,26.1,31
6,22,1930,21,26.55,32.1
6,23,1930,22.4,27.7,33
6,24,1930,23.2,28.65,34.1
6,25,1930,22.4,28.3,34.2
6,26,1930,20.1,26.75,33.4
6,27,1930,21.2,27.6,34
6,28,1930,20.2,27.2,34.2
